Day;Station;Absolute_level;Percentage_volume_stored;volume_stored;County;River_basin;Province
2025-01-20T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.08;17.2;10.53;Alt Empord…;Riu Muga;Girona
2025-01-20T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.07;92.5;3.46;Alt Pened‚s;Riu Foix;Barcelona
2025-01-20T00:00:00.000;Reservoir of la Baells (Cercs);614.56;56.8;62.18;Bergued…;Riu Llobregat;Barcelona
2025-01-20T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.36;34.5;27.6;SolsonŠs;Riu Cardener;Lleida 
2025-01-20T00:00:00.000;Reservoir of Riudecanyes;205.28;23.5;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-20T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.07;51.9;12.65;SolsonŠs;Riu Cardener;Lleida 
2025-01-20T00:00:00.000;Reservoir of Sau (Vilanova de Sau);383.18;10.3;17.01;Osona;Riu Ter;Barcelona
2025-01-20T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.13;9.6;1.17;Priorat;Riu Siurana;Tarragona
2025-01-20T00:00:00.000;Reservoir of Susqueda (Osor);318.01;38.8;90.32;La Selva;Riu Ter;Girona
2025-01-21T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.07;17.2;10.53;Alt Empord…;Riu Muga;Girona
2025-01-21T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.04;92.1;3.45;Alt Pened‚s;Riu Foix;Barcelona
2025-01-21T00:00:00.000;Reservoir of la Baells (Cercs);614.5;56.7;62.01;Bergued…;Riu Llobregat;Barcelona
2025-01-21T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.33;34.5;27.57;SolsonŠs;Riu Cardener;Lleida 
2025-01-21T00:00:00.000;Reservoir of Riudecanyes;205.29;23.5;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-21T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.07;51.9;12.65;SolsonŠs;Riu Cardener;Lleida 
2025-01-21T00:00:00.000;Reservoir of Sau (Vilanova de Sau);382.7;9.8;16.18;Osona;Riu Ter;Barcelona
2025-01-21T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.12;9.6;1.17;Priorat;Riu Siurana;Tarragona
2025-01-21T00:00:00.000;Reservoir of Susqueda (Osor);318.25;39.1;90.99;La Selva;Riu Ter;Girona
2025-01-22T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.06;17.2;10.52;Alt Empord…;Riu Muga;Girona
2025-01-22T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.02;91.7;3.43;Alt Pened‚s;Riu Foix;Barcelona
2025-01-22T00:00:00.000;Reservoir of la Baells (Cercs);614.43;56.5;61.85;Bergued…;Riu Llobregat;Barcelona
2025-01-22T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.31;34.4;27.54;SolsonŠs;Riu Cardener;Lleida 
2025-01-22T00:00:00.000;Reservoir of Riudecanyes;205.3;23.6;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-22T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.07;51.9;12.65;SolsonŠs;Riu Cardener;Lleida 
2025-01-22T00:00:00.000;Reservoir of Sau (Vilanova de Sau);382.21;9.3;15.35;Osona;Riu Ter;Barcelona
2025-01-22T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.12;9.6;1.17;Priorat;Riu Siurana;Tarragona
2025-01-22T00:00:00.000;Reservoir of Susqueda (Osor);318.41;39.3;91.49;La Selva;Riu Ter;Girona
2025-01-23T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.04;17.2;10.49;Alt Empord…;Riu Muga;Girona
2025-01-23T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.01;91.5;3.42;Alt Pened‚s;Riu Foix;Barcelona
2025-01-23T00:00:00.000;Reservoir of la Baells (Cercs);614.37;56.4;61.69;Bergued…;Riu Llobregat;Barcelona
2025-01-23T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.28;34.4;27.5;SolsonŠs;Riu Cardener;Lleida 
