Day;Reservoir of Darnius Boadella (Darnius)_Absolute_level_Sum;Reservoir of la Llosa del Cavall (Nav…s)_Absolute_level_Sum;Reservoir of Siurana (Cornudella de Montsant)_Absolute_level_Sum;Reservoir of Susqueda (Osor)_Absolute_level_Sum;Reservoir of Sau (Vilanova de Sau)_Absolute_level_Sum;Reservoir of Foix (Castellet i la Gornal)_Absolute_level_Sum;Reservoir of la Baells (Cercs)_Absolute_level_Sum;Reservoir of Riudecanyes_Absolute_level_Sum;Reservoir of Sant Pon‡ (Clariana de Cardener)_Absolute_level_Sum
2025-03-15T00:00:00.000;144.02;784.47;462.48;320.22;399.65;100.54;621.61;207.73;522.48
2025-03-16T00:00:00.000;144.17;784.83;462.88;320.27;400.66;100.53;622.08;208.13;522.69
2025-03-17T00:00:00.000;144.31;785.13;463.18;320.28;401.55;100.53;622.45;208.4;522.86
2025-03-18T00:00:00.000;144.45;785.39;463.41;320.27;402.31;100.53;622.77;208.6;523
2025-03-19T00:00:00.000;144.91;785.67;463.63;320.3;403.04;100.53;623.22;208.79;523.15
2025-03-20T00:00:00.000;146.64;786.07;464.05;320.65;404.22;100.54;624.32;209.1;523.32
2025-03-21T00:00:00.000;147.96;786.55;464.5;320.94;405.54;100.54;625.33;209.48;523.53
2025-03-22T00:00:00.000;149.24;787.25;465.08;321.26;407.15;100.56;626.66;209.92;523.86
2025-03-23T00:00:00.000;149.82;787.89;465.56;321.43;408.54;100.55;627.67;210.33;524.18
2025-03-24T00:00:00.000;150.29;788.46;466.04;321.54;409.98;100.54;628.54;210.72;524.53
2025-03-25T00:00:00.000;150.66;788.95;466.39;321.62;411.29;100.53;628.94;211.03;524.85
2025-03-26T00:00:00.000;150.93;789.35;466.65;321.65;412.27;100.53;628.61;211.28;525.07
2025-03-27T00:00:00.000;151.13;789.68;466.86;321.62;413.03;100.53;628.73;211.48;525.24
2025-03-28T00:00:00.000;151.28;789.95;467.03;321.64;413.63;100.52;628.93;211.63;525.37
2025-03-29T00:00:00.000;151.39;790.18;467.17;321.66;414.11;100.52;629.08;211.77;525.47
2025-03-30T00:00:00.000;151.47;790.38;467.28;321.68;414.52;100.51;629.16;211.89;525.54
2025-03-31T00:00:00.000;151.55;790.56;467.38;321.69;414.87;100.52;629.21;211.99;525.61
2025-04-01T00:00:00.000;151.61;790.73;467.46;321.69;415.18;100.52;629.27;212.07;525.66
2025-04-02T00:00:00.000;151.67;790.91;467.54;321.68;415.48;100.53;629.38;212.17;525.72
2025-04-03T00:00:00.000;151.73;791.09;467.61;321.65;415.78;100.52;629.49;212.26;525.79
2025-04-04T00:00:00.000;151.77;791.27;467.67;321.69;416.02;100.52;629.57;212.33;525.84
2025-04-05T00:00:00.000;151.81;791.41;467.72;321.7;416.25;100.51;629.51;212.41;525.89
2025-04-06T00:00:00.000;151.85;791.56;467.77;321.69;416.48;100.52;629.44;212.47;525.95
2025-04-07T00:00:00.000;151.88;791.71;467.81;321.93;416.53;100.51;629.39;212.52;526
2025-04-08T00:00:00.000;151.92;791.88;467.85;322.42;416.43;100.49;629.35;212.57;526.04
2025-04-09T00:00:00.000;151.95;792.04;467.88;322.88;416.36;100.48;629.32;212.62;526.08
2025-04-10T00:00:00.000;151.97;792.22;467.92;323.35;416.29;100.47;629.33;212.67;526.12
2025-04-11T00:00:00.000;152;792.39;467.94;323.99;416.09;100.47;629.33;212.72;526.16
2025-04-12T00:00:00.000;152.02;792.55;467.97;324.67;415.84;100.47;629.29;212.76;526.19
2025-04-13T00:00:00.000;152.05;792.7;468;325.34;415.59;100.47;629.24;212.8;526.22
2025-04-14T00:00:00.000;152.07;792.87;468.02;325.99;415.4;100.47;629.24;212.85;526.26
2025-04-15T00:00:00.000;152.1;793.09;468.05;326.51;415.39;100.45;629.38;212.89;526.31
2025-04-16T00:00:00.000;152.14;793.3;468.07;327.04;415.47;100.43;629.42;212.93;526.36
2025-04-17T00:00:00.000;152.18;793.48;468.09;327.71;415.5;100.42;629.38;212.96;526.4
2025-04-18T00:00:00.000;152.2;793.64;468.1;328.33;415.5;100.41;629.31;212.99;526.44
2025-04-19T00:00:00.000;;793.82;468.12;328.96;415.42;100.41;629.31;213.03;526.52
2025-04-20T00:00:00.000;;794.15;468.14;329.57;415.35;100.41;629.41;213.07;526.68
2025-04-21T00:00:00.000;;794.4;468.15;330.19;415.24;100.4;629.46;213.1;526.81
