ID_GRAFIC,Provincia,Estadillo,Poligon,MAPX,MAPY,Parcela
1303,17,3114,2442151,2.938124376,42.21631735,173114
1304,17,3116,2170987,2.877765793,42.17099394,173116
1305,17,3121,2172516,2.284614851,42.1600024,173121
1306,17,3128,2180224,2.52740495,42.11612826,173128
1307,17,3129,2178540,2.805445383,42.1170176,173129
1308,17,3134,2189645,2.648364981,42.06267675,173134
1309,17,3135,2449078,2.79354373,42.02696734,173135
1310,17,3136,2198032,2.696876797,42.01769211,173136
1311,17,3138,2176410,3.010888817,42.12633259,173138
1312,17,3139,2448253,3.047172699,42.12623335,173139
1313,17,3140,2179906,2.950825992,42.11709093,173140
1314,17,3141,2180608,2.902004138,42.10836836,173141
1315,17,3143,15235087,2.974518968,42.09913068,173143
1316,17,3148,2194583,2.829614045,42.03602416,173148
1317,17,3153,2187871,3.180273882,42.07206239,173153
1318,17,3155,2462727,2.467898867,41.96290926,173155
1319,17,3157,2231320,2.384556191,41.84526072,173157
1320,17,3160,2468172,2.396467491,41.83647019,173160
1321,17,3161,2490431,2.733775834,42.00017563,173161
1322,17,3161,2490431,2.733475509,41.99980566,173161
1323,17,3164,2203842,2.746079539,41.99117883,173164
1324,17,3166,2205720,2.781751287,41.98177716,173166
1325,17,3168,2210248,2.649212822,41.95464474,173168
1326,17,3169,2210356,2.685193577,41.95474003,173169
1327,17,3173,2215669,2.6610601,41.92762407,173173
1328,17,3174,2215387,2.721585255,41.91865391,173174
1329,17,3175,2219180,2.626156644,41.91088923,173175
1330,17,3178,2225112,2.516850735,41.88226306,173178
1331,17,3179,2224885,2.540849242,41.88198323,173179
1332,17,3183,2228544,2.577302758,41.86446978,173183
1333,17,3184,2226627,2.685622811,41.8648624,173184
1334,17,3185,2487777,2.480938675,41.85491473,173185
1335,17,3186,2232376,2.52899841,41.84631316,173186
1336,17,3187,2232779,2.697373556,41.84639383,173187
1337,17,3192,2219499,2.962855063,41.90139513,173192
1338,17,3194,2231163,2.950715061,41.83796416,173194
1339,17,3197,2233508,2.697806406,41.82864235,173197
1340,17,3199,2237086,2.72185848,41.81953405,173199
1341,17,3203,2238509,2.685864468,41.8105424,173203
1342,17,3205,2238931,2.758050647,41.81055499,173205
1343,17,3208,2241636,2.625762717,41.79240245,173208
1344,17,3209,2242536,2.709965302,41.79215951,173209
1345,17,3212,2463793,2.649957379,41.78300337,173212
1346,17,3213,2464317,2.806130519,41.78398554,173213
1347,17,3215,2245276,2.794318128,41.77485891,173215
1348,17,3216,2462830,2.661961188,41.74747961,173216
1349,17,3217,2462963,2.746307665,41.74767878,173217
1350,17,3218,2466801,2.974810535,41.82001214,173218
1351,17,5019,2213620,2.552496071,41.94525676,175019
1352,17,5031,2180866,2.624032857,42.0896192,175031
1353,17,5032,2177417,2.57542696,42.12547556,175032
1354,17,5033,2447416,2.647767008,42.17075251,175033
1355,17,5034,2442341,2.647459582,42.20647977,175034
1356,17,5035,2447376,2.744429166,42.23416102,175035
1357,17,5036,2446958,2.598769798,42.26066369,175036
1358,17,5038,2449834,2.707553895,42.33304217,175038
1359,17,5039,2464449,2.719411622,42.39610537,175039
1360,17,5040,2446897,3.072032207,42.43217998,175040
1361,17,5100,2224276,3.107338119,41.87402421,175100
1362,17,5102,2187047,2.781285282,42.07201358,175102
1363,17,5103,2181333,3.011006669,42.10822054,175103
1364,17,5104,2148792,2.792609547,42.30620007,175104
1365,17,5105,2466489,3.229542716,42.34218247,175105
1366,17,5172,2262138,2.770638323,41.66668386,175172
1367,17,5175,2252543,2.806512931,41.72079271,175175
1368,17,5177,2467497,2.950771927,41.74796631,175177
1369,17,5178,2462852,2.674132605,41.74751477,175178
1370,17,5179,2249241,2.650078443,41.74744403,175179
1371,17,5181,2246256,2.746224612,41.76571069,175181
1372,17,5182,2464561,2.517647448,41.76497844,175182
1373,17,5184,2241645,2.517625187,41.79203531,175184
1374,17,5186,2464124,2.661774389,41.81052804,175186
1375,17,5190,2235639,2.866412225,41.82896218,175190
1376,17,5191,2235953,2.709848718,41.8286734,175191
1377,17,5192,2464787,2.481060879,41.82786763,175192
1378,17,5195,2467876,2.997759837,41.83620035,175195
1379,17,5197,2228940,2.758229552,41.85580614,175197
1380,17,5199,2228491,2.769943549,41.86483708,175199
1381,17,5200,2468998,2.372333821,41.86335236,175200
1382,17,5202,2226154,2.673638433,41.87343052,175202
1383,17,5203,2226783,2.625302288,41.87346313,175203
1384,17,5205,2490516,2.649354347,41.88254592,175205
1385,17,5209,2468562,2.46842258,41.89986455,175209
1386,17,5211,2213006,3.143571631,41.91001197,175211
1387,17,5215,2215920,2.480258761,41.92693902,175215
1388,17,5217,2214480,2.673183587,41.93665697,175217
1389,17,5230,2208756,2.68511322,41.9637105,175230
1390,17,5233,2206963,2.69713698,41.97301975,175233
1391,17,5242,2193026,3.047076346,42.0450485,175242
1392,17,5244,2469253,2.587991678,42.05346934,175244
1393,17,5248,2183826,2.865865583,42.09015668,175248
1394,17,5249,2183415,2.623630025,42.09844425,175249
1395,17,5251,2182310,2.865851579,42.10827776,175251
1396,17,5252,2449263,3.155664655,42.10778225,175252
1397,17,5253,2179167,2.478716142,42.11607952,175253
1398,17,5262,2479081,2.115097583,42.14951659,175262
1399,17,5264,2164031,2.611248255,42.16146608,175264
1400,17,5268,2442608,2.562833034,42.19748837,175268
1401,17,5269,2166802,2.187381825,42.19544312,175269
1402,17,5274,2459772,2.235742571,42.23173748,175274
1403,17,5277,2430397,2.028602705,42.24804743,175277
1404,17,5279,2450404,3.229236367,42.26112741,175279
1405,17,5280,2484781,2.198904674,42.25833358,175280
1406,17,5284,2153371,3.168613288,42.27894782,175284
1407,17,5285,2443504,2.744187077,42.27908368,175285
1408,17,5286,2153250,2.574400631,42.27858829,175286
1409,17,5287,2459304,2.441000728,42.27801565,175287
1410,17,5292,2148663,2.246652604,42.30376896,175292
1411,17,5293,2105873,2.137468666,42.30315278,175293
1412,17,5294,469613,2.064670956,42.3025821,175294
1413,17,5296,2450999,3.132354439,42.31531739,175296
1414,17,5297,2467852,1.846163648,42.30959755,175297
1415,17,5299,2451089,3.120236795,42.3243369,175299
1416,17,5300,2144973,2.197896202,42.32160357,175300
1417,17,5302,2490365,2.476935008,42.33222208,175302
1418,17,5304,2141388,2.27049801,42.3401006,175304
1419,17,5305,662505,2.076287127,42.33870046,175305
1420,17,5308,15235221,2.901736815,42.35137624,175308
1421,17,5310,696797,1.930321486,42.35544352,175310
1422,17,5311,2137620,3.120322637,42.36936741,175311
1423,17,5312,2466016,2.828837683,42.36930278,175312
1424,17,5313,2451137,3.022982052,42.37843432,175313
1425,17,5314,2135282,2.160773497,42.37537404,175314
1426,17,5316,2446104,2.950275385,42.3874319,175316
1427,17,5319,2133953,2.367066014,42.39471056,175319
1428,17,5320,2445190,3.047478534,42.40544494,175320
1429,17,5323,648530,1.820213782,42.39962693,175323
1430,17,5325,663595,2.306022025,42.42137517,175325
1431,17,5329,2128074,1.783076989,42.43502783,175329
1432,17,5330,2125188,2.962162169,42.45937637,175330
1433,17,6007,2139457,2.440727968,42.3499553,176007
1434,17,6008,2139457,2.452581856,42.3411145,176008
1435,17,6009,2141935,2.258359439,42.34002273,176009
