name;addresses_road_name;addresses_neighborhood_name;addresses_district_name;addresses_zip_code;url;imatge;geometry/type;geometry/coordinates_0;geometry/coordinates_1;coord0;coord01
Roure cerrioide de l'aparcament de Les Planes;Carretera de Vallvidrera a les Planes,107;Vallvidrera, el Tibidabo i les Planes;Sarrià-Sant Gervasi;08017;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/roure-cerrioide-de-l-aparcament-de-les-planes_99400454953.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061346040158-05-12_1.optimized.0721b99c.jpg;Point;423923.1733;4586701.555;42.392317330000004;45.86701555
Grevillea dels jardins dels Drets Humans;Carretera del Prat,2;la Marina de Port;Sants-Montjuíc;08038;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/grevillea-dels-jardins-dels-drets-humans_99400454955.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610200831200153-03-11_1-.optimized.b613e096.jpg;Point;427790.7675;4579222.613;42.77907675;45.792226129999996
Teix dels jardins de la Universitat;Carrer de la Diputació,229;l'Antiga Esquerra de l'Eixample;Eixample;08007;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/teix-dels-jardins-de-la-universitat_99400454945.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610140956050060-02-94_1.optimized.673e304a.jpg;Point;430010.1193;4582068.056;43.001011930000004;45.82068056
Camforer del Jardí Botànic Històric;Avinguda dels Montanyans,30;el Poble-sec;Sants-Montjuíc;08038;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/camforer-del-jardi-botanic-historic_99400455032.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061313240024-03-93_1.optimized.e94bc8de.jpg;Point;429190.0037;4579876.209;42.91900037;45.79876209
Bellaombra de la  Plaça Francesc Maci¤;" Plaça de Francesc Maci¤,9999";Sant Gervasi - Galvany;Sarrià-Sant Gervasi;08036;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/bellaombra-de-la-placa-francesc-macia_99400455037.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610191102510061-02-94_1.optimized.7b027c44.jpg;Point;428467.2371;4582696.117;42.846723710000006;45.82696117
Bellaombres de la  Plaça Prim;" Plaça de Prim,2";el Poblenou;Sant Martí;08005;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/bellaombres-de-la-placa-prim_99400455038.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610111256450091-10-94_1.optimized.53e180bc.jpg;Point;433716.0902;4583406.523;43.37160902;45.83406523
Alzina de la Diagonal;Av Diagonal,361;la Dreta de l'Eixample;Eixample;08037;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/alzina-de-la-diagonal_99400455046.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610141035470006-02-93_1.optimized.6ae5ae19.jpg;Point;430068.9725;4583218.636;43.006897249999994;45.83218636
Araucària de la casa de la Misericòrdia;Carrer d'Elisabets,6;el Raval;Ciutat Vella;08001;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/araucaria-de-la-casa-de-la-misericordia_99400637926.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201910071033400166-01-16_1.optimized.9f4cc419.jpg;Point;430499.8074;4581667.661;43.04998074;45.81667661
Llentiscle del Parc de la Creueta del Coll;Passeig de la Mare de Déu del Coll,77;el Coll;Gràcia;08023;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/llentiscle-del-parc-de-la-creueta-del-coll_99400638023.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201910041215360182-06-18_1.optimized.df0f4056.jpg;Point;428822.1101;4585594.234;42.88221101;45.85594234
Alzina de Can Vidalet;Carrer de l'Encarnació,13;la Vila de Gràcia;Gràcia;08012;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/alzina-de-can-vidalet_99400638027.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201910021421160185-06-18_3.optimized.6b71392d.jpg;Point;429676.0181;4584125.56;42.96760181;45.8412556
