dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat
2025-03-09T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.29;96.3;3.6
2025-03-09T00:00:00.000;Embassament de Sau (Vilanova de Sau);386.62;14.3;23.6
2025-03-09T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);460.19;9.7;1.18
2025-03-09T00:00:00.000;Embassament de la Baells (Cercs);616.35;61;66.8
2025-03-09T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);521.4;57.2;13.95
2025-03-09T00:00:00.000;Embassament de Riudecanyes;205.62;24.6;1.31
2025-03-09T00:00:00.000;Embassament de Darnius Boadella (Darnius);140.26;25.9;15.8
2025-03-08T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.09;92.9;3.47
2025-03-08T00:00:00.000;Embassament de Darnius Boadella (Darnius);136.63;18.3;11.17
2025-03-08T00:00:00.000;Embassament de Susqueda (Osor);318.03;38.8;90.37
2025-03-08T00:00:00.000;Embassament de la Llosa del Cavall (Navès);780.26;34.3;27.48
2025-03-08T00:00:00.000;Embassament de Riudecanyes;205.47;24.1;1.28
2025-03-08T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.93;9.3;1.14
2025-03-08T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);521.25;56.6;13.8
2025-03-08T00:00:00.000;Embassament de Sau (Vilanova de Sau);381.33;8.4;13.94
2025-03-08T00:00:00.000;Embassament de la Baells (Cercs);613.74;55;60.15
2025-03-07T00:00:00.000;Embassament de Riudecanyes;205.46;24.1;1.28
2025-03-07T00:00:00.000;Embassament de Sau (Vilanova de Sau);380.52;7.6;12.63
2025-03-07T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.8;16.8;10.24
2025-03-07T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.91;9.3;1.14
2025-03-07T00:00:00.000;Embassament de la Baells (Cercs);613.3;54;59.08
2025-03-07T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);521.22;56.5;13.77
2025-03-07T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.03;92;3.44
2025-03-07T00:00:00.000;Embassament de la Llosa del Cavall (Navès);780.16;34.2;27.35
2025-03-07T00:00:00.000;Embassament de Susqueda (Osor);317.59;38.2;89.09
2025-03-06T00:00:00.000;Embassament de Sau (Vilanova de Sau);380.28;7.4;12.27
2025-03-06T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.01;91.6;3.43
2025-03-06T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);521.2;56.4;13.75
2025-03-06T00:00:00.000;Embassament de la Baells (Cercs);613.28;53.9;59.03
2025-03-06T00:00:00.000;Embassament de Riudecanyes;205.45;24;1.28
2025-03-06T00:00:00.000;Embassament de la Llosa del Cavall (Navès);780.1;34.1;27.28
2025-03-06T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.79;16.7;10.22
2025-03-06T00:00:00.000;Embassament de Susqueda (Osor);317.61;38.3;89.16
2025-03-06T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.91;9.3;1.14
2025-03-05T00:00:00.000;Embassament de Susqueda (Osor);317.67;38.3;89.32
2025-03-05T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.02;91.7;3.43
2025-03-05T00:00:00.000;Embassament de Riudecanyes;205.44;24;1.28
2025-03-05T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.79;16.7;10.23
2025-03-05T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);521.18;56.3;13.73
2025-03-05T00:00:00.000;Embassament de la Baells (Cercs);613.27;53.9;58.99
2025-03-05T00:00:00.000;Embassament de la Llosa del Cavall (Navès);780.04;34;27.21
2025-03-05T00:00:00.000;Embassament de Sau (Vilanova de Sau);380.02;7.2;11.87
2025-03-05T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.91;9.3;1.14
2025-03-04T00:00:00.000;Embassament de Susqueda (Osor);317.69;38.4;89.37
2025-03-04T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);521.15;56.2;13.7
