dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat
2024-04-24T00:00:00.000;Embassament de la Baells (Cercs);596.42;25.6;27.99
2024-04-24T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.3;11.4;6.95
2024-04-23T00:00:00.000;Embassament de la Baells (Cercs);596.42;25.6;27.99
2024-04-23T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.86;60.7;2.27
2024-04-23T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.33;11.4;6.98
2024-04-22T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.37;11.5;7.01
2024-04-22T00:00:00.000;Embassament de la Baells (Cercs);596.42;25.6;27.99
2024-04-22T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.8;59.9;2.24
2024-04-21T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.75;59.3;2.22
2024-04-21T00:00:00.000;Embassament de la Baells (Cercs);596.41;25.6;27.98
2024-04-21T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.4;11.5;7.03
2024-04-20T00:00:00.000;Embassament de la Baells (Cercs);596.4;25.6;27.96
2024-04-20T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.75;59.3;2.22
2024-04-20T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.43;11.6;7.06
2024-04-19T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.76;59.4;2.22
2024-04-19T00:00:00.000;Embassament de la Baells (Cercs);596.39;25.5;27.95
2024-04-19T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.45;11.6;7.08
2024-04-18T00:00:00.000;Embassament de la Baells (Cercs);596.38;25.5;27.94
2024-04-18T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.47;11.6;7.09
2024-04-18T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.79;59.7;2.23
2024-04-17T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.49;11.6;7.11
2024-04-17T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.79;59.8;2.24
2024-04-17T00:00:00.000;Embassament de la Baells (Cercs);596.37;25.5;27.92
